parameter_index,value
0,-1.008606e+01
1,9.196539e-01
2,-3.119985e+00
3,1.596882e+01
4,-4.440502e+00
5,8.671716e+00
6,-9.202336e+00
7,-1.265570e+02
8,2.062038e+02
9,1.597551e+03
10,0.000000e+00
11,8.319734e+01
12,9.197000e-01
13,0.000000e+00
14,0.000000e+00
15,0.000000e+00
16,9.802349e+01
17,1.962795e+02
18,-1.272131e+02
19,1.942431e+03
20,1.790726e+03
21,-9.443375e+01
22,-3.119496e+00
23,0.000000e+00
24,0.000000e+00
25,0.000000e+00
26,0.000000e+00
27,1.065174e+02
28,-7.982279e+01
29,-1.954445e+02
30,-2.086631e+03
31,-1.780259e+03
32,-9.782902e+01
33,-9.197361e-01
34,0.000000e+00
35,0.000000e+00
36,0.000000e+00
37,0.000000e+00
38,2.030059e+02
39,1.936145e+01
40,-4.139110e+01
41,3.514495e+01
42,-2.123752e+02
43,1.158891e+02
44,-3.119276e+00
45,0.000000e+00
46,0.000000e+00
47,0.000000e+00
48,0.000000e+00
49,-1.835608e+02
50,1.689765e-01
51,3.459396e+01
52,-1.937762e+01
53,-2.662095e+02
54,-9.196736e-01
55,1.236353e+02
56,0.000000e+00
57,0.000000e+00
58,0.000000e+00
59,0.000000e+00
60,0.000000e+00
61,0.000000e+00
62,0.000000e+00
63,0.000000e+00
64,0.000000e+00
65,0.000000e+00
66,-8.300124e+02
67,-5.098095e-01
68,-1.952351e+01
69,3.590507e+01
70,7.263685e+01
71,-4.501187e-01
72,4.462426e+01
73,1.461644e+01
74,1.097050e+00
75,-1.153805e+00
76,-1.516577e+01
77,-7.714312e+00
78,-4.995311e-01
79,9.942577e+00
80,1.520148e+01
81,4.501105e-01
82,9.006260e+01
83,0.000000e+00
84,0.000000e+00
85,0.000000e+00
86,0.000000e+00
87,-1.527124e+01
88,-4.994855e-01
89,7.714638e+00
90,-1.042415e+01
91,1.646122e+01
92,4.501021e-01
93,-3.662058e+01
94,0.000000e+00
95,0.000000e+00
96,0.000000e+00
97,0.000000e+00
98,-4.981438e-01
99,5.107306e+00
100,-1.330952e+00
101,2.553243e+01
102,5.070335e-01
103,-4.500932e-01
104,3.333448e+01
105,0.000000e+00
106,0.000000e+00
107,0.000000e+00
108,0.000000e+00
109,5.024408e-01
110,1.331769e+00
111,2.568456e+01
112,-5.095596e+00
113,5.006224e-01
114,-3.489698e+01
115,-4.503296e-01
116,0.000000e+00
117,0.000000e+00
118,0.000000e+00
119,0.000000e+00
120,0.000000e+00
121,0.000000e+00
122,0.000000e+00
123,0.000000e+00
124,0.000000e+00
125,0.000000e+00
126,0.000000e+00
127,0.000000e+00
128,0.000000e+00
129,0.000000e+00
130,0.000000e+00
131,0.000000e+00
132,0.000000e+00
133,0.000000e+00
134,0.000000e+00
135,0.000000e+00
136,4.520244e+00
137,6.392580e-02
138,-3.636135e+00
139,1.197252e+01
140,-4.518517e+00
141,4.023217e-02
142,5.790636e+00
143,4.019550e+00
144,-2.046860e+01
145,-3.714288e-01
146,3.810409e-01
147,4.289776e+00
148,-2.326064e+00
149,-6.376210e-02
150,-7.611152e+00
151,-4.290337e+00
152,4.014635e-02
153,-9.454214e+00
154,0.000000e+00
155,0.000000e+00
156,0.000000e+00
157,0.000000e+00
158,4.439239e+00
159,-6.509393e-02
160,-2.302984e+00
161,-5.855337e+00
162,-4.259251e+00
163,-4.026754e-02
164,3.096142e-01
165,0.000000e+00
166,0.000000e+00
167,0.000000e+00
168,0.000000e+00
169,-4.329359e+00
170,1.019385e+00
171,-1.790575e+00
172,5.523991e-02
173,-3.915032e+00
174,2.136338e+01
175,-4.025647e-02
176,0.000000e+00
177,0.000000e+00
178,0.000000e+00
179,0.000000e+00
180,0.000000e+00
181,0.000000e+00
182,0.000000e+00
183,0.000000e+00
184,0.000000e+00
185,0.000000e+00
186,0.000000e+00
187,0.000000e+00
188,0.000000e+00
189,0.000000e+00
